account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,usage_count,ticket_count,is_churned,tenure_days
A-7df7a7,Company_125,DevTools,US,2023-01-28,organic,Basic,7,False,True,S-413a1d,2024-05-25,,Enterprise,7,1393,16716,False,False,True,False,monthly,True,C-2e2a3f,2024-07-10,budget,0.0,False,False,False,missing features,922,3.0,1,529
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,S-c14b9d,2023-12-06,,Basic,41,779,9348,False,False,False,False,monthly,True,,,,,,,,,404,0.0,0,702
A-f17767,Company_123,DevTools,US,2023-01-30,event,Enterprise,1,True,True,S-91b63c,2023-12-07,,Enterprise,39,7761,93132,False,False,False,False,annual,True,C-05224a,2023-05-03,pricing,0.0,True,False,False,,713,3.0,1,93
A-1986ca,Company_197,HealthTech,IN,2023-01-30,ads,Pro,20,False,False,S-e95f57,2024-09-24,,Enterprise,20,3980,47760,False,False,False,False,monthly,False,,,,,,,,,362,7.0,0,701
A-39b19f,Company_176,FinTech,US,2023-02-03,partner,Enterprise,1,False,False,S-358daa,2024-09-04,,Enterprise,24,0,0,True,False,False,False,annual,True,C-4dc992,2023-03-11,unknown,0.0,False,False,False,,530,6.0,1,36
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,S-0d497d,2024-01-10,,Enterprise,41,8159,97908,False,False,False,False,annual,True,,,,,,,,,451,1.0,0,694
A-c62e55,Company_315,EdTech,US,2023-02-08,partner,Basic,1,True,False,S-894692,2024-02-22,,Pro,17,833,9996,False,False,False,False,monthly,True,,,,,,,,,337,4.0,0,692
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,S-c3c85e,2024-10-31,,Basic,38,722,8664,False,False,False,False,monthly,True,C-049f10,2023-03-04,support,0.0,False,False,False,,373,1.0,1,23
A-0dbdc6,Company_366,Cybersecurity,DE,2023-02-12,other,Pro,30,False,True,S-c0a7d8,2024-10-26,,Enterprise,30,5970,71640,False,False,False,False,monthly,True,C-c8f7b4,2024-04-14,pricing,175.02,False,False,False,too expensive,512,4.0,1,427
A-f44180,Company_376,Cybersecurity,UK,2023-02-13,event,Pro,9,False,False,S-f42cc4,2023-04-10,,Enterprise,14,2786,33432,False,False,False,False,annual,True,C-992f28,2023-04-29,competitor,38.15,False,False,False,too expensive,520,2.0,1,75
A-a7bd4b,Company_363,Cybersecurity,US,2023-02-15,ads,Enterprise,5,False,False,S-711528,2024-09-25,,Basic,18,342,4104,False,False,False,False,monthly,True,C-edb201,2024-10-15,features,0.0,False,False,False,too expensive,576,6.0,1,608
A-bbe56f,Company_406,HealthTech,US,2023-02-16,ads,Enterprise,21,False,False,S-2d2a88,2024-04-04,,Basic,21,0,0,True,False,False,False,annual,True,,,,,,,,,232,4.0,0,684
A-7641d3,Company_429,EdTech,US,2023-02-16,partner,Pro,8,True,True,S-6b3ac8,2024-08-03,,Pro,61,2989,35868,False,False,True,False,monthly,True,C-3c8ea9,2023-11-10,support,35.05,True,False,False,missing features,519,5.0,1,267
A-977ca0,Company_232,HealthTech,IN,2023-02-20,partner,Basic,6,False,True,S-4d8a27,2024-07-03,,Basic,20,380,4560,False,True,False,False,monthly,True,,,,,,,,,893,3.0,0,680
A-484819,Company_109,HealthTech,US,2023-02-21,organic,Pro,18,False,False,S-5228d6,2024-05-30,2024-08-05,Enterprise,26,5174,62088,False,True,False,True,annual,False,C-5899b9,2023-06-29,support,0.0,True,False,False,,336,5.0,1,128
A-1e50e0,Company_415,Cybersecurity,DE,2023-02-21,other,Pro,19,True,True,S-9b5676,2024-03-02,,Pro,98,4802,57624,False,False,False,False,monthly,False,C-1f9cf2,2024-04-26,pricing,0.0,False,False,False,switched to competitor,194,2.0,1,430
A-52dd88,Company_127,Cybersecurity,US,2023-02-21,ads,Pro,23,False,False,S-36480d,2024-12-04,,Pro,30,1470,17640,False,False,False,False,annual,True,,,,,,,,,516,1.0,0,679
A-e6afc1,Company_346,DevTools,US,2023-02-24,ads,Pro,1,False,False,S-02b3a1,2023-08-05,,Basic,18,342,4104,False,False,False,False,monthly,True,,,,,,,,,679,0.0,0,676
A-e1b9cd,Company_484,DevTools,US,2023-02-26,event,Pro,40,False,True,S-a14f63,2024-02-04,,Enterprise,40,7960,95520,False,False,True,False,monthly,True,C-37929d,2024-10-01,unknown,0.0,False,False,False,switched to competitor,840,1.0,1,583
A-f1f639,Company_296,EdTech,US,2023-02-26,ads,Basic,2,False,False,S-f52fd6,2024-09-19,,Enterprise,9,1791,21492,False,False,False,False,monthly,True,C-a24d30,2024-04-07,budget,0.0,False,False,False,,139,7.0,1,406
A-6e08f3,Company_220,Cybersecurity,US,2023-02-27,event,Basic,8,False,False,S-c419d6,2024-02-16,,Enterprise,24,4776,57312,False,False,False,False,annual,False,C-f518d9,2024-02-10,competitor,0.0,False,False,True,,492,2.0,1,348
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,S-68c537,2024-06-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,True,C-600a7c,2024-10-03,support,0.0,False,True,False,,439,3.0,1,583
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,S-ddbad0,2023-09-16,,Basic,42,798,9576,False,False,False,False,monthly,True,C-a77cbf,2023-10-04,unknown,0.0,False,False,True,too expensive,385,1.0,1,217
A-ad3abd,Company_410,FinTech,US,2023-03-03,event,Pro,44,False,False,S-a959a3,2023-03-18,,Enterprise,44,8756,105072,False,False,False,False,monthly,False,C-2f61e8,2023-07-12,competitor,0.0,False,False,False,,296,3.0,1,131
A-158f4e,Company_180,FinTech,IN,2023-03-03,other,Enterprise,61,False,False,S-6cea1b,2024-11-18,,Pro,61,2989,35868,False,False,False,False,monthly,True,C-a72f7f,2023-03-05,budget,0.0,False,False,False,switched to competitor,453,5.0,1,2
A-7f4db3,Company_441,FinTech,US,2023-03-05,other,Pro,4,False,False,S-69cc68,2023-10-12,,Enterprise,7,1393,16716,False,False,False,False,annual,True,C-ced436,2023-03-21,support,0.0,True,False,False,missing features,844,5.0,1,16
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,S-38c5fd,2023-11-20,2024-06-28,Basic,26,494,5928,False,False,False,True,annual,True,C-f72425,2023-08-19,budget,0.0,False,False,False,switched to competitor,488,5.0,1,165
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,S-a67e83,2024-10-28,,Pro,18,882,10584,False,False,False,False,monthly,True,,,,,,,,,427,5.0,0,663
A-e1462e,Company_217,FinTech,UK,2023-03-12,partner,Basic,15,False,False,S-b9c6ce,2024-10-06,,Enterprise,15,0,0,True,False,False,False,monthly,True,C-e73b7f,2023-10-05,support,0.0,False,False,True,too expensive,347,2.0,1,207
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,S-1170cb,2024-04-19,,Pro,18,882,10584,False,False,False,False,annual,True,C-770066,2024-01-05,budget,0.0,False,False,False,switched to competitor,396,4.0,1,299
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,S-fef85a,2024-08-06,,Pro,34,1666,19992,False,False,False,False,annual,True,,,,,,,,,734,1.0,0,658
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,S-720940,2023-07-29,,Basic,20,380,4560,False,True,False,False,monthly,True,C-9b6151,2024-08-15,competitor,99.1,False,False,True,switched to competitor,666,2.0,1,520
A-f19409,Company_105,DevTools,US,2023-03-16,other,Basic,23,False,True,S-70a554,2023-08-09,,Enterprise,23,4577,54924,False,False,False,False,annual,True,C-71ff03,2023-05-25,features,0.0,False,True,False,too expensive,659,3.0,1,70
A-3793ee,Company_332,Cybersecurity,CA,2023-03-21,organic,Enterprise,49,True,False,S-ab152e,2024-07-22,,Enterprise,49,9751,117012,False,False,True,False,monthly,True,C-ae15f4,2023-06-16,unknown,0.0,False,False,False,,352,4.0,1,87
A-9affe6,Company_401,Cybersecurity,US,2023-03-22,other,Pro,7,False,False,S-025bea,2024-06-25,,Pro,17,833,9996,False,True,False,False,monthly,True,C-47cdaa,2024-01-12,features,83.06,False,False,False,missing features,473,3.0,1,296
A-cbbe12,Company_450,Cybersecurity,DE,2023-03-22,partner,Enterprise,40,False,False,S-26191b,2023-07-21,2024-10-23,Pro,40,0,0,True,False,False,True,annual,True,,,,,,,,,178,6.0,0,650
A-92a333,Company_116,FinTech,US,2023-03-24,event,Enterprise,9,False,False,S-7c635b,2023-08-15,,Enterprise,33,6567,78804,False,False,False,False,annual,True,,,,,,,,,364,4.0,0,648
A-e43bf7,Company_215,Cybersecurity,AU,2023-03-24,other,Pro,44,False,False,S-507731,2024-06-02,,Pro,44,2156,25872,False,False,False,False,annual,True,C-2d03fc,2023-06-24,pricing,0.0,False,False,False,missing features,371,5.0,1,92
A-e3bd71,Company_347,Cybersecurity,US,2023-03-25,partner,Basic,31,False,False,S-1319ac,2024-06-02,,Basic,91,1729,20748,False,False,False,False,annual,True,C-b3431e,2023-12-30,support,0.0,False,True,False,switched to competitor,638,4.0,1,280
A-6e7827,Company_372,DevTools,US,2023-03-26,other,Basic,1,False,False,S-741431,2024-08-30,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,C-d0f6d8,2023-09-19,support,0.0,False,False,False,switched to competitor,419,2.0,1,177
A-b7724f,Company_320,HealthTech,UK,2023-03-28,organic,Basic,1,False,False,S-bbc0f7,2024-09-15,,Basic,1,19,228,False,False,False,False,annual,True,C-db2e8d,2023-08-25,unknown,52.88,False,False,False,missing features,380,3.0,1,150
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,other,Pro,14,False,False,S-56c23b,2024-10-31,,Enterprise,19,3781,45372,False,False,False,False,annual,False,C-07f6e3,2023-06-06,budget,0.0,False,False,False,too expensive,552,5.0,1,70
A-cb6cc6,Company_419,DevTools,US,2023-04-03,ads,Basic,13,True,False,S-ce695e,2024-05-25,,Enterprise,13,0,0,True,False,False,False,annual,False,,,,,,,,,314,3.0,0,638
A-cab532,Company_218,DevTools,FR,2023-04-03,organic,Pro,11,True,False,S-9d8525,2023-04-21,,Enterprise,11,2189,26268,False,False,False,False,monthly,False,C-d2077d,2024-07-10,support,0.0,True,False,False,too expensive,1005,1.0,1,464
A-67be94,Company_276,EdTech,US,2023-04-04,organic,Enterprise,26,False,False,S-58b1a2,2024-06-20,,Enterprise,52,10348,124176,False,False,False,False,monthly,True,C-575802,2024-06-30,competitor,13.72,False,False,False,too expensive,416,5.0,1,453
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,S-68a558,2023-04-17,,Pro,21,1029,12348,False,False,False,False,monthly,True,,,,,,,,,366,3.0,0,636
A-69fad4,Company_103,FinTech,UK,2023-04-06,ads,Basic,6,False,True,S-23281c,2023-07-24,,Basic,15,285,3420,False,False,False,False,monthly,True,C-b6b828,2024-06-17,support,0.0,False,False,False,,412,4.0,1,438
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,S-60b7c7,2024-05-02,,Enterprise,23,4577,54924,False,False,False,False,annual,False,C-6d80a6,2024-08-21,support,0.0,False,False,False,missing features,514,6.0,1,503
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,S-3092cb,2023-08-03,,Enterprise,22,4378,52536,False,False,False,False,annual,True,C-57871b,2024-07-19,budget,0.0,False,False,False,,597,2.0,1,469
A-de58ca,Company_212,HealthTech,DE,2023-04-13,organic,Enterprise,15,False,False,S-08e560,2023-09-25,2024-01-07,Pro,15,735,8820,False,False,False,True,monthly,True,,,,,,,,,505,5.0,0,628
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,S-0ff481,2023-04-30,,Basic,15,285,3420,False,False,False,False,annual,False,,,,,,,,,670,3.0,0,627
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,S-7b211a,2024-11-10,,Pro,32,1568,18816,False,False,False,False,annual,True,C-22f536,2024-05-11,competitor,0.0,True,False,False,,382,3.0,1,392
A-019782,Company_142,DevTools,FR,2023-04-19,event,Enterprise,11,False,False,S-2fd650,2024-12-04,,Enterprise,15,0,0,True,False,False,False,annual,False,,,,,,,,,562,2.0,0,622
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,S-e51242,2023-11-13,,Enterprise,9,1791,21492,False,False,False,False,annual,True,C-ad7ea3,2023-07-12,features,0.0,False,False,False,missing features,693,6.0,1,78
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,S-b81ed3,2024-02-10,,Pro,13,0,0,True,False,False,False,annual,True,C-17377e,2024-03-07,pricing,0.0,False,False,False,missing features,511,4.0,1,317
A-c608c8,Company_199,DevTools,DE,2023-04-27,ads,Pro,3,False,True,S-37a9e3,2024-06-07,2024-06-29,Enterprise,11,2189,26268,False,False,False,True,monthly,False,C-c5b2e8,2024-06-04,support,0.0,False,False,False,too expensive,445,2.0,1,404
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,S-d7ee6f,2023-08-10,,Enterprise,19,3781,45372,False,True,False,False,annual,True,,,,,,,,,791,4.0,0,613
A-54d94a,Company_385,Cybersecurity,IN,2023-05-01,event,Basic,27,False,False,S-1ccdd4,2024-10-21,,Pro,27,1323,15876,False,False,False,False,monthly,True,,,,,,,,,582,4.0,0,610
A-86902e,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34,False,False,S-a245f6,2023-12-28,,Basic,34,646,7752,False,False,False,False,monthly,True,C-66c9fe,2024-12-07,features,0.0,False,False,False,,628,9.0,1,585
A-4a4c2d,Company_473,DevTools,US,2023-05-02,event,Enterprise,54,False,False,S-155934,2024-04-16,,Pro,54,0,0,True,False,False,False,annual,True,,,,,,,,,587,5.0,0,609
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,S-bb3c63,2023-12-01,,Basic,41,779,9348,False,False,False,False,monthly,True,C-a9e0c4,2024-04-12,competitor,0.0,False,False,False,switched to competitor,464,6.0,1,345
A-d5a319,Company_158,FinTech,US,2023-05-04,other,Enterprise,15,False,True,S-13a948,2024-07-24,,Enterprise,15,2985,35820,False,True,False,False,monthly,False,,,,,,,,,604,1.0,0,607
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,S-3a57be,2024-05-15,,Pro,32,1568,18816,False,False,False,False,monthly,True,C-dfe189,2024-11-25,features,72.19,True,False,False,,706,4.0,1,571
A-297a2d,Company_448,HealthTech,UK,2023-05-05,event,Pro,27,False,False,S-39b850,2023-08-15,,Basic,27,0,0,True,False,False,False,annual,True,,,,,,,,,244,2.0,0,606
A-49b828,Company_391,FinTech,IN,2023-05-05,ads,Pro,6,False,False,S-108282,2024-03-26,,Pro,30,1470,17640,False,False,False,False,annual,True,,,,,,,,,687,3.0,0,606
A-fdfc91,Company_414,Cybersecurity,US,2023-05-06,ads,Basic,29,False,False,S-eef92e,2024-08-11,,Pro,66,3234,38808,False,False,False,False,annual,True,,,,,,,,,564,5.0,0,605
A-7c4956,Company_254,DevTools,US,2023-05-06,ads,Enterprise,5,False,True,S-a9a5a1,2023-06-05,,Basic,9,171,2052,False,False,False,False,monthly,False,,,,,,,,,475,3.0,0,605
A-089363,Company_387,FinTech,AU,2023-05-06,event,Basic,2,False,False,S-d62a15,2024-08-08,,Enterprise,10,1990,23880,False,False,False,False,annual,True,C-cb924b,2023-11-27,pricing,0.0,False,False,False,switched to competitor,628,3.0,1,205
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,S-bfca66,2023-06-09,,Basic,14,266,3192,False,False,False,False,annual,False,,,,,,,,,257,3.0,0,603
A-40de06,Company_369,Cybersecurity,US,2023-05-08,event,Enterprise,28,False,True,S-00fcc5,2023-06-23,,Basic,62,1178,14136,False,False,False,False,annual,False,,,,,,,,,902,3.0,0,603
A-80eeb6,Company_402,Cybersecurity,UK,2023-05-09,organic,Enterprise,22,False,False,S-677801,2024-05-02,,Enterprise,89,17711,212532,False,False,False,False,monthly,True,C-c4e7a7,2023-10-19,features,0.0,False,False,False,missing features,725,4.0,1,163
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,S-15a058,2023-09-29,2024-04-03,Pro,2,98,1176,False,False,False,True,monthly,True,C-b7e6ac,2024-05-24,budget,66.37,False,False,False,too expensive,538,8.0,1,379
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,S-998ec2,2024-04-17,,Basic,5,95,1140,False,False,False,False,annual,True,,,,,,,,,376,8.0,0,599
A-075038,Company_397,HealthTech,UK,2023-05-12,ads,Basic,17,False,False,S-da7360,2024-10-26,,Basic,42,798,9576,False,False,False,False,monthly,True,C-370962,2024-09-05,features,6.38,False,False,False,,743,2.0,1,482
A-2ebb4b,Company_334,HealthTech,US,2023-05-15,ads,Basic,41,False,False,S-f6cd70,2023-10-14,,Pro,41,2009,24108,False,False,False,False,annual,True,C-486194,2024-12-29,features,0.0,True,False,True,missing features,488,2.0,1,594
A-328bd0,Company_237,HealthTech,AU,2023-05-16,partner,Enterprise,18,False,False,S-1f94ad,2024-07-14,,Enterprise,18,3582,42984,False,False,False,False,annual,False,,,,,,,,,568,5.0,0,595
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,8,False,True,S-77f7fd,2024-08-06,,Pro,27,1323,15876,False,False,False,False,monthly,True,C-901c1a,2023-08-10,competitor,0.0,False,False,False,too expensive,438,5.0,1,85
A-bcf664,Company_248,DevTools,US,2023-05-19,other,Pro,5,False,False,S-5895f0,2023-10-05,,Basic,8,0,0,True,False,False,False,annual,True,C-9d36da,2024-08-17,competitor,0.0,False,False,True,,575,5.0,1,456
A-cc98bc,Company_469,DevTools,US,2023-05-24,ads,Basic,32,False,False,S-576519,2023-05-27,,Enterprise,32,6368,76416,False,False,False,False,monthly,True,,,,,,,,,551,3.0,0,587
A-e693b6,Company_240,FinTech,AU,2023-05-25,event,Enterprise,55,False,True,S-770d98,2024-11-19,,Enterprise,55,10945,131340,False,False,False,False,annual,True,C-25c0d2,2024-10-10,budget,0.0,False,True,False,missing features,681,1.0,1,504
A-bb2f49,Company_356,Cybersecurity,US,2023-05-28,other,Pro,8,False,False,S-c341e1,2024-09-04,,Pro,14,686,8232,False,False,False,False,monthly,True,,,,,,,,,618,3.0,0,583
A-05d3b3,Company_213,DevTools,AU,2023-05-28,ads,Basic,9,True,False,S-5a1fc3,2024-01-29,,Enterprise,13,2587,31044,False,False,False,False,monthly,True,C-4c523f,2024-03-12,unknown,0.0,False,False,False,switched to competitor,642,6.0,1,289
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,1,False,False,S-c58ed5,2024-04-08,,Pro,32,1568,18816,False,False,False,False,annual,True,C-3b6b00,2023-08-24,support,17.93,False,False,False,too expensive,642,6.0,1,85
A-993085,Company_258,HealthTech,US,2023-06-01,ads,Basic,31,True,False,S-a80511,2024-09-14,,Pro,31,1519,18228,False,False,False,False,annual,True,C-c1bc7e,2023-09-20,features,0.0,False,False,False,,665,4.0,1,111
A-558c72,Company_438,FinTech,US,2023-06-01,organic,Basic,12,False,False,S-4781b1,2023-06-12,,Pro,16,784,9408,False,False,False,False,monthly,True,C-0baa74,2024-11-28,support,43.01,False,False,False,switched to competitor,296,4.0,1,546
A-794a0b,Company_168,HealthTech,DE,2023-06-02,organic,Basic,23,False,False,S-266ada,2024-06-24,,Pro,23,1127,13524,False,False,False,False,monthly,True,C-555f55,2024-09-09,budget,0.0,False,True,False,switched to competitor,347,0.0,1,465
A-2b9d3e,Company_319,EdTech,US,2023-06-04,partner,Enterprise,1,False,False,S-6ac338,2024-08-29,,Basic,28,532,6384,False,False,False,False,annual,True,,,,,,,,,444,3.0,0,576
A-95b24a,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,S-209456,2023-07-18,,Pro,38,1862,22344,False,False,False,False,annual,True,,,,,,,,,611,5.0,0,574
A-19b2c8,Company_476,DevTools,IN,2023-06-06,other,Pro,20,False,False,S-36f8c0,2023-06-19,,Pro,33,1617,19404,False,False,False,False,annual,True,C-de3fd0,2024-08-16,pricing,0.0,False,False,False,missing features,601,3.0,1,437
A-df10db,Company_143,DevTools,US,2023-06-06,other,Enterprise,2,True,False,S-52699f,2023-08-25,2024-12-03,Basic,14,266,3192,False,False,False,True,monthly,True,C-965d90,2024-05-19,competitor,0.0,False,False,False,missing features,697,2.0,1,348
A-54ecc2,Company_289,Cybersecurity,US,2023-06-11,partner,Enterprise,4,False,False,S-a7524a,2024-08-25,,Pro,13,637,7644,False,False,False,False,monthly,True,C-23d5a9,2024-09-22,pricing,0.0,False,False,False,too expensive,607,5.0,1,469
A-756192,Company_390,FinTech,IN,2023-06-11,other,Basic,19,False,False,S-f24690,2024-11-18,,Basic,19,361,4332,False,False,False,False,monthly,True,,,,,,,,,617,3.0,0,569
A-5a184f,Company_124,DevTools,DE,2023-06-19,other,Enterprise,1,False,True,S-8a4156,2023-08-31,,Pro,19,0,0,True,False,False,False,annual,True,C-a26ce8,2024-03-19,support,0.0,False,True,False,missing features,587,3.0,1,274
A-9123ac,Company_219,Cybersecurity,DE,2023-06-20,organic,Pro,9,False,False,S-3c0075,2024-05-27,,Basic,11,209,2508,False,False,False,False,monthly,True,C-31a49a,2024-04-05,support,0.0,True,False,True,too expensive,386,6.0,1,290
A-c7e58b,Company_404,HealthTech,IN,2023-06-25,other,Pro,3,False,False,S-9e64bd,2024-09-07,,Pro,16,0,0,True,False,False,False,monthly,True,,,,,,,,,343,5.0,0,555
A-8ed5dd,Company_222,EdTech,UK,2023-06-29,event,Enterprise,5,False,True,S-713c12,2024-11-27,,Basic,15,285,3420,False,False,True,False,monthly,True,C-f33efc,2024-10-30,support,0.0,True,True,False,switched to competitor,545,6.0,1,489
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,S-ed1eb5,2024-01-08,,Basic,15,285,3420,False,True,False,False,monthly,True,C-b7dfcd,2024-08-08,support,122.11,False,False,False,too expensive,993,3.0,1,404
A-417d2f,Company_285,Cybersecurity,IN,2023-07-04,partner,Pro,4,True,False,S-30a9dd,2024-10-30,,Basic,8,0,0,True,False,False,False,annual,True,C-e4261a,2024-12-30,budget,0.0,False,False,False,missing features,722,6.0,1,545
A-eafc6e,Company_149,DevTools,US,2023-07-06,partner,Pro,27,False,True,S-802cc6,2023-11-15,,Enterprise,34,6766,81192,False,False,False,False,annual,True,C-bc6f48,2023-07-31,pricing,0.0,False,False,False,,300,1.0,1,25
A-f97b9a,Company_159,FinTech,US,2023-07-09,event,Pro,16,False,False,S-5a1d20,2024-12-08,,Pro,16,784,9408,False,False,False,False,annual,True,,,,,,,,,561,7.0,0,541
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,S-bafe35,2024-10-27,,Basic,41,779,9348,False,False,False,False,annual,False,C-488b42,2023-07-21,competitor,0.0,False,False,True,missing features,399,3.0,1,7
A-68f37c,Company_202,HealthTech,US,2023-07-15,ads,Basic,4,False,False,S-401496,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,C-bc2761,2024-02-08,competitor,0.0,False,False,False,too expensive,624,5.0,1,208
A-068fc6,Company_465,EdTech,US,2023-07-17,event,Enterprise,35,False,False,S-76767f,2023-10-28,,Pro,35,1715,20580,False,False,False,False,monthly,True,,,,,,,,,598,5.0,0,533
A-337bc1,Company_424,Cybersecurity,US,2023-07-19,organic,Pro,30,True,False,S-260d1e,2024-03-05,,Enterprise,31,6169,74028,False,False,False,False,annual,True,C-5f93ed,2023-12-16,unknown,0.0,False,False,False,missing features,425,4.0,1,150
